title	employer	location	language	required_experience	link
"Entry Level Software Developer
- job post"	Reynolds and Reynolds	Houston, TX 77040		reynolds and reynolds encourages applicants of all ages and experience to apply, as we do not discriminate on the basis of age.job type: full-timeschedule:	https://www.indeed.com/viewjob?jk=4d46212a936f0f07
"Staff Software Engineer - Interview Scheduling Team
- job post"	Indeed	Houston, TX	javascript, 	we value diverse experiences, including those who have had prior contact with the criminal legal system. we are committed to providing individuals with criminal records, including formerly incarcerated individuals, a fair chance at employment.our policies and benefits	https://www.indeed.com/viewjob?jk=9c612abddb80b3f7
"Specialist-Software Engineer
- job post"	DIRECTV	Houston, TX 77001•Remote	python, 	at directv, we’re connecting the world through the latest tech, top-of-the-line communications and the best in entertainment. innovation powers all that we do, and our groundbreaking solutions deliver compelling communication and entertainment experiences to millions of customers worldwide. as part of our team, your next big idea could be our newest innovation. here’s your opportunity to combine your passions for entertainment, media and technology to transform our company and your career.do you have what it takes?you’re self-motivated and have a passion for learning cloud services and software engineering	https://www.indeed.com/applystart?jk=5c51d00ee55daa2b&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=1&adid=381514146&ad=-6NYlbfkN0Bg-vCOmr41z5O6cL3bVFLNCmt4d7jQ60EdHBZU4QjMGyRF3OJkwwC0GQxq9DZ5KcgzU_rq8zub-cXpnfRc4Xfi7FYIrvOBP_HwrHWJPywVYxYZMA5DuXNGMphlLB5HIgHzBHRNEkuoBBJYBxP5z0XJC1y2GFJ8cTiYPO43XzD0VfzTpmfNSegUyRo7DMcgIVpAilG1cqAXpN7-EJc-OP8uy-BIGPn_6vN66olZ5slyArXZfyLIs6x5vSUG0-wXkPTZh091hMvFzi8xCXbyjHPTYnU2sFoIi61QdhN0WoqjbFFpqWs5Ou3n6n5YlPou2sek3o-zsVoUPhKx8TGLnG97Gr44nQoLDWkk0C7O-IFlP9DytHYuJSPFbKmJOWXfZ6k0IThlWwiCukGPFUiLHw69VfTofI7Lhes%3D&sjdu=QWF4TUFyrHvH7u082A4fa0WJlojWYIc-mFxdfMBtT0Y&vjfrom=vjs&astse=8420f130715fb506&assa=3318
"Network Engineer - Entry Level
- job post"	Aston Technologies Inc.	Houston, TX			https://www.indeed.com/applystart?jk=16a599bf4bcce49d&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=1&adid=58900875&ad=-6NYlbfkN0Bkb-ytiGCNOKS17COaSWVQYZB8PE4Lo8kSq62CWsDFcX3pF_m6JceOzw53zeUkPZwivSv6w9CASAEXNbC1yEWrZOwNG0rJFtl0EXyrA5idXdA_0v_M4Mkg9Sj0bkLkiXh5w47S3cx0r42MUf1gaAKa1p8FGksV5AakdsIbX6aJHePhN8rrQwY3DQIw9pKNMeJ1yN_ODk9fWUxyeD-dP36S9nR_FF2NXSX6SUFspBgGtT4wb-xhDoBr7SShklNOqTnwN3v5Ny9SjfIT6oufpzYzzzc-wfY4msLFQYMdXoOGzmsYLHcuKt-04Bq5t3MZFBeyZ3xpHr9f3rIOw6yOX4AHhJ82PYnSRBaa34PCA0dgyjVDt8ZJetgPUVF9ft0pKHrIvwfqsqkdM9n1hBPj1jGr1rLJ63Z-u_of1LGL_nOW31BBBGg8hb_O2HnHYtd4uZq4iYpruozlIhdHg21l2pnzT0aowiXhGs2NE9bbFJM-cyMtPc5BAvAKjOoH-rq8Cx8%3D&sjdu=PPKQhOf2qoyUttWPKAxFLqlrmEsLQtkuhOd-k6eJ87n7bpbFs0lqnkDCsCcaV4mU6sNI2bKRembaY5vFNw3K2Q&vjfrom=vjs&astse=eb8d2aab3b90e478&assa=4486
"Software Engineer UI (Remote)
- job post"	HP	Spring, TX 77389•Remote	html, css, javascript, 	bonus if you have experience with aws technologies like cloud-front, s3, eks, kubernetes.bonus if you have worked in a team of 5+ size.you're great at coordinating with a variety of teams throughout the company	https://www.indeed.com/applystart?jk=3efbd53548bbdb34&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=1&adid=381520899&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOXZ3CS3IjU_ieykkoIFdkricV5u_rYBkgi6UDHgXWUASGfZ8xDpdKvecem3kTj1F_HQOXBpv5vgdf89zW-qM5Bbe5URDnp9H_o3BqzCSGvjItwCoQrAVLuqSX9An_Y54cmCQOm9crpfSu3A5t55h0erVeJHTDukQzy-0Y5i31M8PnwOVk96AHNh899ARsZNRpCEvpmw0DLky4XBpFsZkigj3LH4DPmcA2w0muaJbN1imaCfVP8P5rmAy9tJmaQqqQ67Zrbk_6G3uaeYc4uqEuNRk8qqj9VIaipfcC1oUOXY6kNb_8RYrZ7ZHWSBAMU9Gnpmcg_9R47wAI5SDWB4gLvZl9jSDa1MJIkaHDOTIGesYvykXJl4JLHHYoeXMekoMEKCLrmbU2HKFSkHNAvFoeKgMEEau8FWd3Xt24WCyQRejurwLK-I618mQkwmtlpf_hwIvVx7jfuTXIgtyhPDsb3gDR7IF4bUWxrYvtTtpaPYhFz9ukFtTHmBIgylD28gBVJMOMC7H_DDHlVbkO5oWQkphM7Qkx_NWFiYXD0tdnr9OENDRn6k2MDdqCVx2_bZXjuh9cdVZAPC_vSQv7D4qrxtmI0vSsJm51gsZALhbVrdX9cZCAdz1v4N4aEt0hnIIWf-WWhyj6_dIxav_LkvKhFzRCdJgyGHlzDQNZiyGeYTMEqcxeXylMWZ4PwmHdEF71ldi_lojRotpCM4qr6CmJHGXjrHEZfHAUDviqy4MIpNwAeq8h_GQ9rJWUVipoG30A2O4XagVPGfOBa3bP9-YRm36EO_-S94IFFGB4fjk_jSxTBTEXcTGW2Jtq8VjNZkkoGgUpRy1P83Tn9baSyqyQA7e_b9SNoB1xb46U-ARAH8ypr3p4jCztQVYY5XWcwWW-lCGdvu7KxLLsfBReqOJcGtcY9pt7uazui3vNpwUi0nm&sjdu=teYnAu8OgCGxABCwWD3OBGSvNPsXXaEnWLrUq8268_TXkMOibV4_mQ9u5rM4Go9X3MNrbRcBL1Y1CtxjScFBEn7g_DX8S5ca5hXEzlQewnTPPmFjoJTSD6uVY-qPeomUv7XeoJFVqPNSOh7LIWw-XQmSBuqlD3-oXFbOCji43ib1IzLJXPmt5WMamG_K9-NPgviDYCG66uFOAODeCayFH-mzV0GbscPQqcwl4GSgEqenr9d-_5ge1wFIoEo3v8-zg4_WY5sEXkx1VRylDi6Lyw&vjfrom=vjs&astse=eff84cc641531747&assa=5652
"Software Engineer
- job post"	Baylor College of Medicine	Houston, TX 77030	python, sql, 	experience:python: 1 year (preferred)matlab: 1 year (preferred)	https://www.indeed.com/viewjob?jk=bad498cb9c426f8e
"Python Software Engineering
- job post"	JPMorgan Chase Bank, N.A.	Houston, TX	python, c++, 	3 plus years of experience developing in a modern programming language, preferably python or c++advanced knowledge of application, data, and infrastructure architecture disciplinesunderstanding of architecture and design across all systems	https://www.indeed.com/applystart?jk=33c3e2b707dc4b52&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhmxVWeweCeZJmSWPJohKY5MIfcMu539kP3i1FMxIq2rA&vjfrom=vjs&astse=62d8f71438583207&assa=8016
"Web Design Apprentice
- job post"	Houston Astros, LLC	Houston, TX 77002	html, css, javascript, 	experiencepreferred1	https://www.indeed.com/applystart?jk=4093c9aab8c95077&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgN6zqY5FbKXvkiAawFMaOMXEqzEHpaMck04qufWYB5sg&vjfrom=vjs&astse=3bf971fada09dd3d&assa=9162
"Software Engineering-1156595
- job post"	JPMorgan Chase Bank, N.A.	Houston, TX	python, sql, javascript, 	experience in designing infrastructure solutions for applications.strong programming skills in bash, python, perl, go, etc.strong working knowledge of modern development technologies and tools such agile, ci/cd, git, terraform and jenkins	https://www.indeed.com/applystart?jk=b175e0b79ac76c03&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXglppxqD8D_dLCb_svQ1dlGULY8luZ3vf8Ryj3D5QnPXg&vjfrom=vjs&astse=c054f249dd25afee&assa=396
"Software Engineering and Programming Specialist
- job post"	Baylor College of Medicine	Houston, TX 77030	sql, html, javascript, c#, 	experience in windows and unix operating systems.ability to take given specifications and generate code for functional applications.capable of participating in software/hardware release and installation tasks.	https://www.indeed.com/applystart?jk=ad8af14ecf782209&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32ifepekf1e800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiL9oVdKKdFz2smwn63NraXnUUKYs5yKqp3Fg7KgmoxhA&vjfrom=vjs&astse=cfa5d60f1236619b&assa=1468
